,faces,filename,genre,hash,minNeighbors,scaleFactor
907,1,"['1994_739e7323-4327-47df-9e80-7f5d7c70e124_country', 'jpg']",country,739e7323-4327-47df-9e80-7f5d7c70e124,5,1.1
908,1,"['1994_74b87b2a-7559-42ff-9705-af92b8b132f6_country', 'jpg']",country,74b87b2a-7559-42ff-9705-af92b8b132f6,5,1.1
909,2,"['1994_7aad662e-bd26-3910-8173-49acb8188a75_country', 'jpg']",country,7aad662e-bd26-3910-8173-49acb8188a75,5,1.1
910,2,"['1994_7aad662e-bd26-3910-8173-49acb8188a75_rock', 'jpg']",rock,7aad662e-bd26-3910-8173-49acb8188a75,5,1.1
911,1,"['1994_7ae9ee8d-6d49-4b70-b054-602c711b6705_hip-hop', 'jpg']",hip-hop,7ae9ee8d-6d49-4b70-b054-602c711b6705,5,1.1
912,0,"['1994_7bdec870-d321-4b69-a424-35d5e67ce442_hip-hop', 'jpg']",hip-hop,7bdec870-d321-4b69-a424-35d5e67ce442,5,1.1
913,1,"['1994_7c69fc94-e9ef-4bb2-a5fd-03e43e4cc603_hip-hop', 'jpg']",hip-hop,7c69fc94-e9ef-4bb2-a5fd-03e43e4cc603,5,1.1
914,1,"['1994_7d77f7fb-fb7a-4b65-bcc8-2ce23c4cfc43_rock', 'jpg']",rock,7d77f7fb-fb7a-4b65-bcc8-2ce23c4cfc43,5,1.1
915,0,"['1994_7dc287bd-7d60-3a4c-9887-ef3cdfd45728_country', 'jpg']",country,7dc287bd-7d60-3a4c-9887-ef3cdfd45728,5,1.1
916,0,"['1994_7df0b764-6d14-42f1-a47a-c46680ef8487_hip-hop', 'jpg']",hip-hop,7df0b764-6d14-42f1-a47a-c46680ef8487,5,1.1
917,0,"['1994_7ec72c98-ad70-4814-ac69-62fd68fe7950_rock', 'jpg']",rock,7ec72c98-ad70-4814-ac69-62fd68fe7950,5,1.1
918,1,"['1994_7fe0ae0b-d77c-4cfe-ae19-cb3f4a535754_electronic', 'jpg']",electronic,7fe0ae0b-d77c-4cfe-ae19-cb3f4a535754,5,1.1
919,1,"['1994_809b8454-f957-4345-b5ea-6c3a8d1d07a1_hip-hop', 'jpg']",hip-hop,809b8454-f957-4345-b5ea-6c3a8d1d07a1,5,1.1
920,0,"['1994_81135a58-90c3-4e98-8626-234b90923041_hip-hop', 'jpg']",hip-hop,81135a58-90c3-4e98-8626-234b90923041,5,1.1
921,0,"['1994_82dcf6e8-6b92-46d0-b0d9-7d3ff43526d9_electronic', 'jpg']",electronic,82dcf6e8-6b92-46d0-b0d9-7d3ff43526d9,5,1.1
922,1,"['1994_8373b2e3-5773-418c-8e89-d11ec0381975_country', 'jpg']",country,8373b2e3-5773-418c-8e89-d11ec0381975,5,1.1
923,0,"['1994_84a81cfe-405a-4e50-9d83-c7649229e506_country', 'jpg']",country,84a81cfe-405a-4e50-9d83-c7649229e506,5,1.1
924,0,"['1994_84f184e8-f9d2-4570-96a7-98dc12653ab3_electronic', 'jpg']",electronic,84f184e8-f9d2-4570-96a7-98dc12653ab3,5,1.1
925,0,"['1994_84f690a0-488b-48a0-9fee-3af0947aa184_rock', 'jpg']",rock,84f690a0-488b-48a0-9fee-3af0947aa184,5,1.1
926,0,"['1994_86a92ba8-f024-4136-88e3-d9e7880ece52_country', 'jpg']",country,86a92ba8-f024-4136-88e3-d9e7880ece52,5,1.1
927,0,"['1994_86e9746e-d166-4bc1-8608-5d019987c8ac_hip-hop', 'jpg']",hip-hop,86e9746e-d166-4bc1-8608-5d019987c8ac,5,1.1
928,0,"['1994_88009ce0-d698-46ba-92b7-b907d3eb9203_rock', 'jpg']",rock,88009ce0-d698-46ba-92b7-b907d3eb9203,5,1.1
929,0,"['1994_8803a33c-0da6-46d6-a17f-048201f18ce3_hip-hop', 'jpg']",hip-hop,8803a33c-0da6-46d6-a17f-048201f18ce3,5,1.1
930,0,"['1994_8a6c0622-432d-42c8-9efc-239b8d05880f_electronic', 'jpg']",electronic,8a6c0622-432d-42c8-9efc-239b8d05880f,5,1.1
931,1,"['1994_8bd26f90-a889-4824-9cc7-74e2393707a6_country', 'jpg']",country,8bd26f90-a889-4824-9cc7-74e2393707a6,5,1.1
932,4,"['1994_8df27005-665a-4e3f-9eb6-b6befd1a7f27_rock', 'jpg']",rock,8df27005-665a-4e3f-9eb6-b6befd1a7f27,5,1.1
933,0,"['1994_8ed8e30d-dfa1-3ae1-bfca-96926a9d7da3_hip-hop', 'jpg']",hip-hop,8ed8e30d-dfa1-3ae1-bfca-96926a9d7da3,5,1.1
934,0,"['1994_8f0694db-a5e7-36b0-a44a-b189335949af_hip-hop', 'jpg']",hip-hop,8f0694db-a5e7-36b0-a44a-b189335949af,5,1.1
935,3,"['1994_8f83909e-d2e1-4d00-9d88-b9c92e09872f_rock', 'jpg']",rock,8f83909e-d2e1-4d00-9d88-b9c92e09872f,5,1.1
936,1,"['1994_90756803-fd18-475b-886a-b5e1221e4b68_hip-hop', 'jpg']",hip-hop,90756803-fd18-475b-886a-b5e1221e4b68,5,1.1
937,1,"['1994_915e0cc2-b14c-4021-84d6-054d7ae7b815_hip-hop', 'jpg']",hip-hop,915e0cc2-b14c-4021-84d6-054d7ae7b815,5,1.1
938,0,"['1994_91d36f48-9388-3de9-9c70-3434ad67a639_electronic', 'jpg']",electronic,91d36f48-9388-3de9-9c70-3434ad67a639,5,1.1
939,0,"['1994_94a1830b-ff56-4bea-bebf-369bc0d433f8_electronic', 'jpg']",electronic,94a1830b-ff56-4bea-bebf-369bc0d433f8,5,1.1
940,0,"['1994_956d2aa1-ec05-4ac0-8690-0f21698c159b_country', 'jpg']",country,956d2aa1-ec05-4ac0-8690-0f21698c159b,5,1.1
941,0,"['1994_96316bce-982a-495d-9921-2494acd756f3_electronic', 'jpg']",electronic,96316bce-982a-495d-9921-2494acd756f3,5,1.1
942,1,"['1994_97410570-1112-465d-9eff-2e721e57e738_hip-hop', 'jpg']",hip-hop,97410570-1112-465d-9eff-2e721e57e738,5,1.1
943,0,"['1994_97d31456-be0e-4eb5-93c7-7f3df553fffb_rock', 'jpg']",rock,97d31456-be0e-4eb5-93c7-7f3df553fffb,5,1.1
944,0,"['1994_9848b1e1-15c1-4469-90cf-719dee7459a8_electronic', 'jpg']",electronic,9848b1e1-15c1-4469-90cf-719dee7459a8,5,1.1
945,0,"['1994_9941c17f-9f77-4fef-9e79-c225f04c232a_country', 'jpg']",country,9941c17f-9f77-4fef-9e79-c225f04c232a,5,1.1
946,0,"['1994_99811fb9-31c8-481f-b514-e635f2491ff2_rock', 'jpg']",rock,99811fb9-31c8-481f-b514-e635f2491ff2,5,1.1
947,2,"['1994_9b4b4000-8455-4463-b0e4-2441f13af601_electronic', 'jpg']",electronic,9b4b4000-8455-4463-b0e4-2441f13af601,5,1.1
948,1,"['1994_9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc_electronic', 'jpg']",electronic,9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc,5,1.1
949,0,"['1994_9ce5be49-df4d-464e-bdec-637d78b1a644_electronic', 'jpg']",electronic,9ce5be49-df4d-464e-bdec-637d78b1a644,5,1.1
