Dateiname,Tag1,Tag1_P,Tag2,Tag2_P,Tag3,Tag3_P,Tag4,Tag4_P,Tag5,Tag5_P
1997_2b60087a-bb73-432b-b986-b43931064d0e_pop.jpg;woman,0.98114806,people,0.97641134,portrait,0.96842843,fashion,0.9549186,one,0.954042,
1997_55c24dc9-d6bf-4fd6-b306-2b3f40c62927_hip-hop.jpg;portrait,0.98810774,people,0.98015493,music,0.9769583,movie,0.9710432,adult,0.9608016,
1997_5965201a-bf72-40da-a28c-610d53213bd7_country.jpg;retro,0.9913386,old,0.98892164,vintage,0.98864603,antique,0.98530936,ancient,0.98355997,
1997_5c2103db-5dab-469f-9697-02c9e542ad4a_country.jpg;illustration,0.98704815,art,0.9868343,retro,0.9863895,painting,0.9814707,old,0.9792998,
1997_6137f03f-be09-418d-9b5a-9799531f635e_rock.jpg;lid,0.9994869,portrait,0.9970175,cowboy,0.99646187,people,0.9947647,man,0.99460506,
1997_6445dabe-2389-4dd8-94a6-9f22e8e254d6_country.jpg;man,0.99583584,portrait,0.9943448,people,0.9914515,one,0.9750301,adult,0.97296727,
1997_6d969bc3-6575-44e7-87eb-a2142c20163d_pop.jpg;man,0.9962144,people,0.99127495,portrait,0.988206,adult,0.98504055,fine-looking,0.97653186,
1997_b73f4fe0-8676-401f-b38e-9b117d6e2f8e_pop.jpg;man,0.98727864,togetherness,0.97995484,woman,0.9731392,adult,0.9562671,indoors,0.9370539,
1997_bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d_rock.jpg;retro,0.99607986,paper,0.99055886,antique,0.9687857,no person,0.965972,old,0.9606233,
1997_d21770fe-5235-4bba-9289-f8e3c2b39282_country.jpg;people,0.995553,adult,0.98269165,woman,0.9786502,man,0.9774927,group,0.9670033,
1997_db470570-67e1-40f0-afef-9e089b28cabd_hip-hop.jpg;adult,0.9861552,people,0.9796898,indoors,0.97265625,portrait,0.9662685,dark,0.93664646,
1997_e52596cc-dcd4-4aba-99b1-f600f13cb0c2_country.jpg;people,0.99705005,portrait,0.99355376,man,0.9892692,adult,0.98561037,one,0.9732324,
1997_e6215166-075f-4c9e-93db-d3d028dd8fe1_electronic.jpg;outdoors,0.99638975,nature,0.9931147,horizontal plane,0.9919783,sky,0.98393226,landscape,0.9734495,
1997_f0781963-a86c-44b8-b6f3-6f9982832e3d_electronic.jpg;outdoors,0.9659828,tree,0.96432835,nature,0.95892,illustration,0.9365443,water,0.93580437,
