,filename,genre,hash,minNeighbors,people,scaleFactor
136,"['1997_55c24dc9-d6bf-4fd6-b306-2b3f40c62927_hip-hop', 'jpg']",hip-hop,55c24dc9-d6bf-4fd6-b306-2b3f40c62927,4,0,1.09
137,"['1997_5965201a-bf72-40da-a28c-610d53213bd7_country', 'jpg']",country,5965201a-bf72-40da-a28c-610d53213bd7,4,0,1.09
138,"['1997_5c2103db-5dab-469f-9697-02c9e542ad4a_country', 'jpg']",country,5c2103db-5dab-469f-9697-02c9e542ad4a,4,0,1.09
139,"['1997_6137f03f-be09-418d-9b5a-9799531f635e_rock', 'jpg']",rock,6137f03f-be09-418d-9b5a-9799531f635e,4,0,1.09
140,"['1997_6445dabe-2389-4dd8-94a6-9f22e8e254d6_country', 'jpg']",country,6445dabe-2389-4dd8-94a6-9f22e8e254d6,4,2,1.09
141,"['1997_6d969bc3-6575-44e7-87eb-a2142c20163d_pop', 'jpg']",pop,6d969bc3-6575-44e7-87eb-a2142c20163d,4,0,1.09
142,"['1997_b73f4fe0-8676-401f-b38e-9b117d6e2f8e_pop', 'jpg']",pop,b73f4fe0-8676-401f-b38e-9b117d6e2f8e,4,0,1.09
143,"['1997_bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d_rock', 'jpg']",rock,bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d,4,1,1.09
144,"['1997_d21770fe-5235-4bba-9289-f8e3c2b39282_country', 'jpg']",country,d21770fe-5235-4bba-9289-f8e3c2b39282,4,1,1.09
145,"['1997_db470570-67e1-40f0-afef-9e089b28cabd_hip-hop', 'jpg']",hip-hop,db470570-67e1-40f0-afef-9e089b28cabd,4,0,1.09
146,"['1997_e52596cc-dcd4-4aba-99b1-f600f13cb0c2_country', 'jpg']",country,e52596cc-dcd4-4aba-99b1-f600f13cb0c2,4,0,1.09
147,"['1997_e6215166-075f-4c9e-93db-d3d028dd8fe1_electronic', 'jpg']",electronic,e6215166-075f-4c9e-93db-d3d028dd8fe1,4,0,1.09
