,genre,hash,histmax_b,histmax_g,histmax_r,histmed_b,histmed_g,histmed_r,histstd_b,histstd_g,histstd_r
479,pop,14e7a6a2-f181-4e67-92d0-01303e60ddfa,0,0,0,4856.0,9205.0,984.0,0.0,0.0,0.0
480,electronic,323b22de-fcba-4881-a9e7-7c495000e9ed,0,0,0,12626.0,2080.0,10961.0,0.0,0.0,0.0
481,electronic,14ccf0a8-9085-4713-97f9-e9da16dbed2f,0,0,0,0.0,0.0,32.0,0.0,0.0,0.0
482,hip-hop,6d8ae022-8687-46ed-8755-045f73494fee,0,0,0,2456.0,1630.0,605.0,0.0,0.0,0.0
483,hip-hop,d1918911-da23-4c5b-8a1d-31c69731110b,0,0,0,703.0,858.0,3549.0,0.0,0.0,0.0
484,rock,9be99ebf-9486-4981-a13b-d1c960bc9ca7,0,0,0,133.0,904.0,1725.0,0.0,0.0,0.0
485,country,6da289bf-35b6-41b4-8a9d-60c120a1622e,0,0,0,380.0,0.0,0.0,0.0,0.0,0.0
486,electronic,2ef79631-26b6-4b63-b55c-8863394003cc,0,0,0,6651.0,5246.0,837.0,0.0,0.0,0.0
487,hip-hop,6155451e-57a5-4ce0-9a91-8a119fbe59cb,0,0,0,4153.0,767.0,289.0,0.0,0.0,0.0
488,pop,5f9ff8e2-8007-4c2d-9559-b98ec27ff776,0,0,0,9915.0,9823.0,9452.0,0.0,0.0,0.0
489,electronic,a7c54111-057b-4d91-a0ee-f3f30d5fc6ef,0,0,0,78.0,7.0,0.0,0.0,0.0,0.0
490,rock,4349b090-8599-4151-b5ba-a94ac327933c,0,0,0,1965.0,3380.0,165.0,0.0,0.0,0.0
491,hip-hop,7cef5d37-90ac-4b7e-8e76-31a02363f431,0,0,0,14046.0,13808.0,9642.0,0.0,0.0,0.0
492,pop,2bee1831-f594-486e-bec1-0b213a7d07ee,0,0,0,10228.0,15593.0,17872.0,0.0,0.0,0.0
493,pop,16c2685c-36cd-475f-bfaf-8ceb8bbd95ee,0,0,0,6804.0,138.0,100.0,0.0,0.0,0.0
494,pop,489287ff-44ee-4e14-9653-3a257980d728,0,0,0,7537.0,4252.0,2848.0,0.0,0.0,0.0
495,hip-hop,c4cf23d5-c0f6-49f8-b892-87f044f377e1,0,0,0,986.0,4.0,2.0,0.0,0.0,0.0
496,pop,d61a6676-7851-4a10-811a-cb9aaed06d23,0,0,0,2428.0,127.0,455.0,0.0,0.0,0.0
497,electronic,441a4aea-4451-419a-98dc-2b5fe242dc04,0,0,0,23777.0,23152.0,25854.0,0.0,0.0,0.0
498,rock,e30870f0-4c78-4465-98ed-40077948a650,0,0,0,1939.0,655.0,2.0,0.0,0.0,0.0
499,electronic,2369662f-fa9a-4d51-b68e-00133f6a32fe,0,0,0,2.0,7420.0,1.0,0.0,0.0,0.0
