,genre,gray_max,gray_med,gray_std,hash
260,rock,1.4175,1.4908,1.4388,4abed502-e9da-40a4-9c50-669023506306
261,rock,-0.2079,-0.3802,-1.2066,4c0901da-5758-4205-8958-6ba0097811ae
262,hip-hop,-0.8439,-0.336,0.3745,4ccf4c52-0b2a-47ec-9a4c-86dd2a547013
263,pop,-0.7833,0.1943,-0.4507,4efcf73f-95eb-440e-a2ad-298c9d086d6f
264,country,0.0344,0.0912,-0.5481,521475ea-7841-440f-b399-cbd4dd6ad8fe
265,hip-hop,-0.9852,-0.4244,0.5436,534396e2-e392-45c0-921c-5f6e4dbd295e
266,rock,-1.0256,0.6069,1.2299,545eb104-6525-43ce-9661-e77c9ec9cfd3
267,pop,1.5285,2.139,1.4398,5766d9a6-f1d0-43e7-9047-87280f32c1e9
268,hip-hop,-0.7126,0.1059,0.7194,59bde889-8fc1-41ce-93a6-b33d3f3ab6f4
269,rock,-0.652,-0.7191,-0.1603,5b7442d7-0fa3-4a20-899e-ef6423150cd3
270,electronic,0.1253,0.3417,-0.5836,5ca661b8-55a4-41e5-91b3-67044545f649
271,pop,-0.8741,-0.6454,0.9787,609ffa7a-911c-45c5-8792-a72d1169f281
272,pop,0.1051,0.1354,0.283,620c974e-a69d-3067-92b8-4f411a6b6f38
273,hip-hop,-0.5309,-0.1887,-0.216,65f5f2d2-70f2-33d9-b73c-78a8a69164b3
274,pop,-0.2079,-0.2329,-0.4024,69c736b0-ebe4-4aa6-aeaa-32370a0be8e5
275,hip-hop,-0.541,-0.4686,-1.0913,6d696634-3dc9-49d9-b07a-90b7bbe7d164
276,pop,0.6906,0.9604,-0.0787,6ddfd1b2-57ba-4b07-a6d2-6c46c39475d6
277,country,-0.9751,-1.3231,-0.1525,6f8f6b21-1918-41e5-9498-6fe0331b8b0a
278,pop,1.5487,1.1814,1.1268,6fa78da0-26e0-4bed-a97f-122319b647e1
279,hip-hop,-1.0155,-1.1021,-0.9893,70179593-70af-4a3b-9c70-10120bde1192
280,hip-hop,-0.7732,-0.616,0.3954,752fe2bf-b2b6-4cd8-aa78-a220e04190d4
281,country,0.5695,0.6658,0.6026,754faecf-8687-4e02-9fd3-e1165d8b7f28
282,hip-hop,-0.9448,-0.5128,0.6906,78387b4f-3d1c-347e-bf57-0802962d0485
283,pop,1.478,2.0801,1.1217,79246bc4-000d-4ad0-9ff4-643580687a8d
284,pop,-0.1473,0.4301,-0.0932,7bfba2a5-f107-40d1-a86a-cd68fb69c4a3
